sample_name,fold,district,genus,true_label,pred_label,correct,ptv3_attr,ae_attr,relative_ae,confidence
Acer_0001,0,Gorlice,Acer,0,8,0,4.408661842346191,3.739588737487793,0.45894375685419175,0.9981714487075806
Acer_0002,0,Gorlice,Acer,0,8,0,4.298513412475586,4.097301006317139,0.48801709959974776,0.9988817572593689
Acer_0003,0,Gorlice,Acer,0,8,0,2.9487195014953613,4.217198371887207,0.5885077725585852,0.9887012243270874
Acer_0004,0,Gorlice,Acer,0,8,0,4.183155536651611,2.9414429664611816,0.4128573646707907,0.998166561126709
Acer_0005,0,Gorlice,Acer,0,8,0,4.722097396850586,3.125309467315674,0.3982601536316695,0.9994592070579529
Acer_0006,0,Gorlice,Acer,0,8,0,4.818771839141846,3.118842601776123,0.39291938668241,0.9993892908096313
Acer_0007,0,Gorlice,Acer,0,4,0,4.741959095001221,5.738672733306885,0.5475502643200643,0.9984577894210815
Acer_0008,0,Gorlice,Acer,0,4,0,3.29036021232605,6.387747287750244,0.6600202861044564,0.9619458317756653
Acer_0009,0,Gorlice,Acer,0,8,0,6.269299030303955,3.7875826358795166,0.3766160086032634,0.9896355271339417
Acer_0010,0,Gorlice,Acer,0,4,0,3.5537445545196533,6.662856578826904,0.6521598020067575,0.93306964635849
Acer_0011,0,Gorlice,Acer,0,4,0,6.514964580535889,5.816269874572754,0.47166971733689356,0.9997852444648743
Acer_0012,0,Gorlice,Acer,0,8,0,5.210227012634277,4.505774021148682,0.4637477909733059,0.9952341914176941
Acer_0013,0,Gorlice,Acer,0,8,0,4.718528747558594,4.402351379394531,0.48266738662187464,0.9982700347900391
Acer_0014,0,Gorlice,Acer,0,8,0,3.0348291397094727,3.329662322998047,0.5231623511912059,0.9688485860824585
Acer_0015,0,Gorlice,Acer,0,4,0,3.581699848175049,7.041272163391113,0.6628344825813639,0.8821728229522705
Acer_0016,0,Gorlice,Acer,0,8,0,5.051465034484863,3.839026927947998,0.43181265332130514,0.9527623057365417
Acer_0017,0,Gorlice,Acer,0,8,0,4.15415620803833,4.058261871337891,0.49416162537897995,0.6541773676872253
Acer_0018,0,Gorlice,Acer,0,4,0,2.3043928146362305,6.399206161499023,0.7352367878727977,0.7265511751174927
Acer_0019,0,Gorlice,Acer,0,4,0,4.635467052459717,5.497821807861328,0.5425505853251319,0.999548614025116
Acer_0020,0,Gorlice,Acer,0,4,0,1.7429448366165161,6.98033332824707,0.8001961175972961,0.8065810203552246
Acer_0021,0,Gorlice,Acer,0,4,0,7.118374824523926,3.3470354080200195,0.31981884421631784,0.9996628761291504
Acer_0022,0,Gorlice,Acer,0,8,0,4.037476539611816,2.544947624206543,0.3866277160212632,0.9798505306243896
Acer_0023,0,Gorlice,Acer,0,4,0,3.965808868408203,2.871447801589966,0.41997074791562966,0.624123752117157
Acer_0024,0,Gorlice,Acer,0,8,0,5.759986877441406,2.617929458618164,0.3124797802319271,0.9993664622306824
Acer_0025,0,Gorlice,Acer,0,8,0,3.0362653732299805,3.0589005947113037,0.5018568166612067,0.7080329656600952
Acer_0026,0,Gorlice,Acer,0,8,0,3.7200379371643066,2.7671449184417725,0.42655571390051233,0.9311626553535461
Acer_0027,0,Gorlice,Acer,0,8,0,4.391881942749023,2.7773547172546387,0.3873989442802451,0.9972781538963318
Acer_0028,0,Gorlice,Acer,0,4,0,3.924360513687134,3.6653029918670654,0.4829335298403442,0.783656656742096
Acer_0029,0,Gorlice,Acer,0,8,0,1.591522216796875,4.53419828414917,0.7401901990218155,0.892807126045227
Acer_0030,0,Gorlice,Acer,0,8,0,3.9571681022644043,3.4001660346984863,0.4621464740869593,0.7780275344848633
Acer_0031,0,Gorlice,Acer,0,4,0,5.849664688110352,3.8424484729766846,0.3964510530520072,0.9986496567726135
Acer_0032,0,Gorlice,Acer,0,8,0,4.491325378417969,4.334471702575684,0.491113908226921,0.9969016313552856
Acer_0033,0,Gorlice,Acer,0,8,0,5.8755340576171875,4.6161088943481445,0.43997960196345054,0.9998953342437744
