fold,district,n_samples,allAcc,mAcc,macro_f1,weighted_f1,macro_precision,macro_recall
0,Gorlice,643,0.290824,0.556601,0.344100,0.281133,0.364662,0.556601
1,Herby,1268,0.867508,0.444371,0.425438,0.884128,0.499406,0.444371
2,Katrynka,777,0.906049,0.531864,0.481882,0.905258,0.548718,0.531864
3,Milicz,1086,0.839779,0.492574,0.476377,0.832688,0.512787,0.492574
4,Piensk,1570,0.931210,0.448014,0.446149,0.939699,0.451416,0.448014
5,Suprasl,1029,0.772595,0.375868,0.397318,0.796775,0.461272,0.375868

mean,,6373,0.767994,0.474882,0.428544,0.773280,0.473044,0.474882
std,,,0.219267,0.060131,0.047537,0.224978,0.058244,0.060131
aggregated,,6373,0.809666,0.485880,0.474213,0.804586,0.476363,0.485880

class,support,f1,precision,recall
Acer,60,0.118919,0.088000,0.183333
Alnus,102,0.196262,0.187500,0.205882
Betula,415,0.723307,0.690789,0.759036
Carpinus,125,0.227586,0.200000,0.264000
Fagus,489,0.254545,0.402655,0.186094
Larix,106,0.533937,0.513043,0.556604
Picea,907,0.891304,0.926278,0.858875
Pinus,3567,0.959703,0.941955,0.978133
Quercus,525,0.657795,0.656546,0.659048
Tilia,77,0.178771,0.156863,0.207792
