fold,district,n_samples,allAcc,mAcc,macro_f1,weighted_f1,macro_precision,macro_recall
0,Gorlice,643,0.262830,0.583122,0.361480,0.238803,0.382187,0.583122
1,Herby,1268,0.900631,0.532166,0.469659,0.912195,0.541742,0.532166
2,Katrynka,777,0.907336,0.489833,0.501884,0.905906,0.554875,0.489833
3,Milicz,1086,0.857274,0.521608,0.519974,0.850138,0.589295,0.521608
4,Piensk,1570,0.947134,0.463484,0.481251,0.950666,0.513051,0.463484
5,Suprasl,1029,0.793975,0.455220,0.448511,0.815482,0.477463,0.455220

mean,,6373,0.778197,0.507572,0.463793,0.778865,0.509769,0.507572
std,,,0.235341,0.043796,0.051068,0.245465,0.066724,0.043796
aggregated,,6373,0.823945,0.521294,0.504569,0.811860,0.529674,0.521294

class,support,f1,precision,recall
Acer,60,0.053691,0.044944,0.066667
Alnus,102,0.382979,0.418605,0.352941
Betula,415,0.770833,0.741648,0.802410
Carpinus,125,0.282282,0.225962,0.376000
Fagus,489,0.201709,0.614583,0.120654
Larix,106,0.575342,0.557522,0.594340
Picea,907,0.892714,0.930622,0.857773
Pinus,3567,0.967130,0.949244,0.985702
Quercus,525,0.639935,0.560976,0.744762
Tilia,77,0.279070,0.252632,0.311688
