dataset,tree_id,species,genus,latitude,longitude
TreeScanPL,101703.0_1,Abies alba,Abies,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_2,Carpinus betulus,Carpinus,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_3,Fagus sylvatica,Fagus,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_4,Abies alba,Abies,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_5,Fraxinus excelsior,Fraxinus,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_6,Acer pseudoplatanus,Acer,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_7,Abies alba,Abies,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_8,Fagus sylvatica,Fagus,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_9,Abies alba,Abies,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_10,Abies alba,Abies,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_11,Abies alba,Abies,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_12,Abies alba,Abies,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_13,Abies alba,Abies,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_14,Abies alba,Abies,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_15,Abies alba,Abies,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_16,Fagus sylvatica,Fagus,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_17,Abies alba,Abies,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_18,Abies alba,Abies,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_19,Abies alba,Abies,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_20,Abies alba,Abies,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_21,Fagus sylvatica,Fagus,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_22,Abies alba,Abies,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_23,Acer pseudoplatanus,Acer,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_24,Abies alba,Abies,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_25,Quercus sp.,Quercus,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_26,Abies alba,Abies,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_27,Abies alba,Abies,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_28,Abies alba,Abies,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_29,Fagus sylvatica,Fagus,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_30,Acer pseudoplatanus,Acer,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_31,Abies alba,Abies,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_32,Abies alba,Abies,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_33,Abies alba,Abies,49.69443851790877,20.905798549410004
TreeScanPL,101703.0_34,Carpinus betulus,Carpinus,49.69443851790877,20.905798549410004
TreeScanPL,601903.0_1,Tilia cordata,Tilia,49.68683771528285,20.93320588854747
TreeScanPL,601903.0_2,Tilia cordata,Tilia,49.68683771528285,20.93320588854747
TreeScanPL,601903.0_3,Quercus sp.,Quercus,49.68683771528285,20.93320588854747
TreeScanPL,601903.0_4,Carpinus betulus,Carpinus,49.68683771528285,20.93320588854747
TreeScanPL,601903.0_5,Tilia cordata,Tilia,49.68683771528285,20.93320588854747
TreeScanPL,601903.0_6,Prunus avium,Prunus,49.68683771528285,20.93320588854747
TreeScanPL,601903.0_7,Quercus sp.,Quercus,49.68683771528285,20.93320588854747
TreeScanPL,601903.0_9,Pinus sylvestris,Pinus,49.68683771528285,20.93320588854747
TreeScanPL,601903.0_10,Prunus avium,Prunus,49.68683771528285,20.93320588854747
TreeScanPL,601903.0_12,Quercus sp.,Quercus,49.68683771528285,20.93320588854747
TreeScanPL,601903.0_13,Pinus sylvestris,Pinus,49.68683771528285,20.93320588854747
TreeScanPL,601903.0_14,Tilia cordata,Tilia,49.68683771528285,20.93320588854747
TreeScanPL,601903.0_15,Abies alba,Abies,49.68683771528285,20.93320588854747
TreeScanPL,601903.0_17,Tilia cordata,Tilia,49.68683771528285,20.93320588854747
TreeScanPL,601903.0_18,Tilia cordata,Tilia,49.68683771528285,20.93320588854747
TreeScanPL,1302103.0_1,Acer pseudoplatanus,Acer,49.678916772139736,20.97172656538483
TreeScanPL,1302103.0_2,Abies alba,Abies,49.678916772139736,20.97172656538483
TreeScanPL,1302103.0_3,Abies alba,Abies,49.678916772139736,20.97172656538483
TreeScanPL,1302103.0_4,Abies alba,Abies,49.678916772139736,20.97172656538483
TreeScanPL,1302103.0_5,Quercus sp.,Quercus,49.678916772139736,20.97172656538483
TreeScanPL,1302103.0_6,Abies alba,Abies,49.678916772139736,20.97172656538483
TreeScanPL,1302103.0_7,Ulmus minor,Ulmus,49.678916772139736,20.97172656538483
TreeScanPL,1302103.0_8,Larix decidua,Larix,49.678916772139736,20.97172656538483
TreeScanPL,1302103.0_10,Prunus avium,Prunus,49.678916772139736,20.97172656538483
TreeScanPL,1302103.0_11,Prunus avium,Prunus,49.678916772139736,20.97172656538483
TreeScanPL,1302103.0_12,Acer pseudoplatanus,Acer,49.678916772139736,20.97172656538483
TreeScanPL,1302103.0_14,Abies alba,Abies,49.678916772139736,20.97172656538483
TreeScanPL,1302103.0_15,Acer pseudoplatanus,Acer,49.678916772139736,20.97172656538483
TreeScanPL,1302103.0_16,Quercus sp.,Quercus,49.678916772139736,20.97172656538483
TreeScanPL,1302103.0_17,Abies alba,Abies,49.678916772139736,20.97172656538483
TreeScanPL,1302103.0_18,Abies alba,Abies,49.678916772139736,20.97172656538483
TreeScanPL,1302103.0_19,Abies alba,Abies,49.678916772139736,20.97172656538483
TreeScanPL,1302103.0_22,Quercus sp.,Quercus,49.678916772139736,20.97172656538483
TreeScanPL,2603203.0_1,Fraxinus excelsior,Fraxinus,49.63808298731651,21.04202558393928
TreeScanPL,2603203.0_3,Fraxinus excelsior,Fraxinus,49.63808298731651,21.04202558393928
TreeScanPL,2603203.0_4,Acer pseudoplatanus,Acer,49.63808298731651,21.04202558393928
TreeScanPL,2603203.0_5,Fraxinus excelsior,Fraxinus,49.63808298731651,21.04202558393928
TreeScanPL,2603203.0_6,Fraxinus excelsior,Fraxinus,49.63808298731651,21.04202558393928
TreeScanPL,2603203.0_7,Acer pseudoplatanus,Acer,49.63808298731651,21.04202558393928
TreeScanPL,2603203.0_8,Acer pseudoplatanus,Acer,49.63808298731651,21.04202558393928
TreeScanPL,2603203.0_9,Fraxinus excelsior,Fraxinus,49.63808298731651,21.04202558393928
TreeScanPL,2603203.0_10,Acer pseudoplatanus,Acer,49.63808298731651,21.04202558393928
TreeScanPL,2603203.0_11,Fraxinus excelsior,Fraxinus,49.63808298731651,21.04202558393928
TreeScanPL,2603203.0_12,Acer pseudoplatanus,Acer,49.63808298731651,21.04202558393928
TreeScanPL,2603203.0_13,Fraxinus excelsior,Fraxinus,49.63808298731651,21.04202558393928
TreeScanPL,2703003.0_1,Abies alba,Abies,49.64528366124679,21.048212608060204
TreeScanPL,2703003.0_2,Abies alba,Abies,49.64528366124679,21.048212608060204
TreeScanPL,2703003.0_3,Abies alba,Abies,49.64528366124679,21.048212608060204
TreeScanPL,2703003.0_4,Abies alba,Abies,49.64528366124679,21.048212608060204
TreeScanPL,2703003.0_5,Abies alba,Abies,49.64528366124679,21.048212608060204
TreeScanPL,2703003.0_6,Abies alba,Abies,49.64528366124679,21.048212608060204
TreeScanPL,2703003.0_7,Abies alba,Abies,49.64528366124679,21.048212608060204
TreeScanPL,2703003.0_8,Abies alba,Abies,49.64528366124679,21.048212608060204
TreeScanPL,2703003.0_9,Abies alba,Abies,49.64528366124679,21.048212608060204
TreeScanPL,2703003.0_10,Abies alba,Abies,49.64528366124679,21.048212608060204
TreeScanPL,2703003.0_11,Abies alba,Abies,49.64528366124679,21.048212608060204
TreeScanPL,2703003.0_12,Abies alba,Abies,49.64528366124679,21.048212608060204
TreeScanPL,2703003.0_13,Abies alba,Abies,49.64528366124679,21.048212608060204
TreeScanPL,2703003.0_14,Abies alba,Abies,49.64528366124679,21.048212608060204
TreeScanPL,2703003.0_15,Abies alba,Abies,49.64528366124679,21.048212608060204
TreeScanPL,2703003.0_16,Abies alba,Abies,49.64528366124679,21.048212608060204
TreeScanPL,2703003.0_17,Abies alba,Abies,49.64528366124679,21.048212608060204
TreeScanPL,2703003.0_18,Abies alba,Abies,49.64528366124679,21.048212608060204
